EFECTOR;ANIO;ESPECIALIDAD;SERVICIO;TOTAL
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Otorrinolaringología;Cirugia;3604
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Gastroenterología;Cirugia;69
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Subtotal Cirugia;Cirugia;10641
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Infecciosas ;Pediatria;5306
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Adolescencia;Pediatria;3504
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Subtotal Pediatria;Pediatria;8810
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Guardia Del Día;Urgencia;19679
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Subtotal Urgencia;Urgencia;19679
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Promoción Y Protección;Promocion Y Proteccion;19704
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Subtotal Promocion Y Proteccion;Promocion Y Proteccion;19704
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Total Hospital;Promocion Y Proteccion;159435
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Tabaquismo;Medicina;693
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Curieterapia;Medicina;1225
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Roentgenterapia;Medicina;64
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Alta Energía;Medicina;3858
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Clínica Médica;Medicina;762
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Clínica Oncológica;Medicina;11936
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Clínica Oncológica ;Medicina;1956
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cuidados Paliativos;Medicina;2981
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Consultorio De Orientación;Medicina;3901
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Hematología;Medicina;4257
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Infectología;Medicina;259
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Dermatología;Medicina;3369
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cardiología;Medicina;7482
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Nutrición Y Diabetes ;Medicina;6615
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Gastroenterología Y Hepatología ;Medicina;1421
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Neumonología ;Medicina;913
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Nefrología ;Medicina;182
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cesación Tabáquica;Medicina;18
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Subtotal Medicina;Medicina;51892
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cirugía General;Cirugia;2587
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cirugía Plástica;Cirugia;2241
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Proctología ;Cirugia;1005
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Ginecología;Cirugia;8863
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cirugía Maxilofacial;Cirugia;5042
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Patología Mamaria;Cirugia;6824
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Urología;Cirugia;2128
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Ortopedia Y Traumatología;Cirugia;1705
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Cirugía Torácica ;Cirugia;1074
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Flebolinfología ;Cirugia;895
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Estomatología;Cirugia;2850
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Subtotal Cirugia;Cirugia;35214
HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE;2011;Total Hospital;Cirugia;87106
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Clínica Médica;Medicina;536
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Cardiología;Medicina;433
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Subtotal Medicina;Medicina;969
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Cirugía Plástica;Cirugia;5942
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Quemados - Adultos;Cirugia;24742
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Quemados - Pediatría;Cirugia;12665
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Seguimiento De Internación - Adultos;Cirugia;1888
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Seguimiento De Internacián - Pediatría;Cirugia;1779
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Subtotal Cirugia;Cirugia;47016
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Guardia Del Día;Urgencia;19622
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Subtotal Urgencia;Urgencia;19622
HOSPITAL DE QUEMADOS DR. A. ILLIA;2011;Total Hospital;Urgencia;67607
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Estomago;Medicina;1931
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Hepatología;Medicina;1734
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Intestino Delgado;Medicina;1234
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Ginecología;Medicina;514
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Motilidad;Medicina;505
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Pancreas;Medicina;695
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Nutrición;Medicina;2449
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Enfermedades Inflamatorias;Medicina;2625
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Oncología;Medicina;6757
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Clínica Médica;Medicina;18759
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Cardiología;Medicina;3316
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Infectología;Medicina;253
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Subtotal Medicina;Medicina;40772
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Cirugía;Cirugia;4397
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Proctología;Cirugia;4724
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Subtotal Cirugia;Cirugia;9121
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Emergencias Médicas ;Urgencia;27969
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Subtotal Urgencia;Urgencia;27969
HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2011;Total Hospital;Urgencia;77862
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Cardiología;Medicina;4150
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Clínica Médica;Medicina;607
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Infectología;Medicina;3884
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Subtotal Medicina;Medicina;8641
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Clínica Oftalmológica;Cirugia;17364
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Clínica Oftalmológica ;Cirugia;13104
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Clínica Oftalmológica ;Cirugia;5044
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Córnea;Cirugia;4183
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Estrabismo;Cirugia;2372
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Glaucoma;Cirugia;6524
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Oculoplastía;Cirugia;4381
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Retinopatía;Cirugia;10700
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Uveitis;Cirugia;2126
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Cirugía;Cirugia;3286
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Neuro Oftalmología;Cirugia;1342
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Subtotal Cirugia;Cirugia;70426
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Emergencia;Urgencia;128325
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Subtotal Urgencia;Urgencia;128325
HOSPITAL OFTALMOLOGICO P. LAGLEYZE;2011;Total Hospital;Urgencia;207392
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Clínica Médica;Medicina;6055
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Clínica Médica ;Medicina;784
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Cardiología;Medicina;4518
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Dermatología;Medicina;1051
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Endocrinología;Medicina;1247
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Infectología;Medicina;1013
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Subtotal Medicina;Medicina;14668
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Clínica Oftalmológica;Cirugia;27611
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Clínica Oftalmológica ;Cirugia;1067
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Córnea;Cirugia;2275
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Estrabismo;Cirugia;1920
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Glaucoma;Cirugia;3890
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Retina;Cirugia;7627
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Segmento Anterior;Cirugia;4720
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Uveitis;Cirugia;937
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Neurooftalmología Y Orbita;Cirugia;2036
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Vias Lagrimales;Cirugia;1997
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Cirugía;Cirugia;2865
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Cirugía Refractiva;Cirugia;1783
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Clínica Oftalmológica ;Cirugia;27358
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Oncología Y Orbita;Cirugia;262
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Infectología Ocular;Cirugia;2491
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Cirugía Plástica;Cirugia;1389
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Neurocirugía;Cirugia;1743
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Subtotal Cirugia;Cirugia;91971
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Pediatría;Pediatria;2159
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Oftalmología Pediátrica;Pediatria;5446
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Subtotal Pediatria;Pediatria;7605
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Guardia Médica;Urgencia;594277
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Subtotal Urgencia;Urgencia;594277
HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2011;Total Hospital;Urgencia;708521
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Cardiología;Medicina;837
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Clínica Médica;Medicina;2658
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Neurología;Medicina;1991
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Infecciosas;Medicina;3090
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Subtotal Medicina;Medicina;8576
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Cirugía;Cirugia;813
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Urología;Cirugia;492
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Subtotal Cirugia;Cirugia;1305
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Guardia Del Día;Urgencia;14553
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Subtotal Urgencia;Urgencia;14553
HOSPITAL DE SALUD MENTAL J. BORDA;2011;Total Hospital;Urgencia;24434
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Dermatología;Medicina;1296
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Cardiología;Medicina;4287
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Clínica Médica;Medicina;13214
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Endocrinología;Medicina;2166
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Neurología;Medicina;2054
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Infectología;Medicina;928
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Subtotal Medicina;Medicina;23945
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Traumatología;Cirugia;784
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Oftalmología;Cirugia;1714
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Ginecología;Cirugia;4312
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Cirugía;Cirugia;4247
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Subtotal Cirugia;Cirugia;11057
HOSPITAL DE SALUD MENTAL B. MOYANO;2011;Total Hospital;Cirugia;35002
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Pediatría;Pediatria;985
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Neurología;Pediatria;2104
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Ginecología;Pediatria;126
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Subtotal Pediatria;Pediatria;3215
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Urgencia;Urgencia;13901
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Subtotal Urgencia;Urgencia;13901
HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;2011;Total Hospital;Urgencia;17116
HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2011;Clínica Médica;Medicina;4216
HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2011;Subtotal Medicina;Medicina;4216
HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2011;Emergencia;Urgencia;33550
HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2011;Subtotal Urgencia;Urgencia;33550
HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2011;Total Hospital;Urgencia;37766
HOSPITAL DE REHABILITACION M. ROCCA;2011;Fisiatría;Medicina;7711
HOSPITAL DE REHABILITACION M. ROCCA;2011;Fisiatría ;Medicina;1059
HOSPITAL DE REHABILITACION M. ROCCA;2011;Clínica Médica;Medicina;2920
HOSPITAL DE REHABILITACION M. ROCCA;2011;Clínica Estética;Medicina;333
HOSPITAL DE REHABILITACION M. ROCCA;2011;Cardiología;Medicina;3435
HOSPITAL DE REHABILITACION M. ROCCA;2011;Orientación;Medicina;3303
HOSPITAL DE REHABILITACION M. ROCCA;2011;Reumatología;Medicina;3602
HOSPITAL DE REHABILITACION M. ROCCA;2011;Cesación Tabáquica;Medicina;174
HOSPITAL DE REHABILITACION M. ROCCA;2011;Subtotal Medicina;Medicina;22537
HOSPITAL DE REHABILITACION M. ROCCA;2011;Ortopedia Y Traumatología;Cirugia;4770
HOSPITAL DE REHABILITACION M. ROCCA;2011;Ortopedia Y Traumatología ;Cirugia;2856
HOSPITAL DE REHABILITACION M. ROCCA;2011;Cirugía Plástica;Cirugia;393
HOSPITAL DE REHABILITACION M. ROCCA;2011;Oftalmología;Cirugia;2312
HOSPITAL DE REHABILITACION M. ROCCA;2011;Otorrinolaringología;Cirugia;7352
HOSPITAL DE REHABILITACION M. ROCCA;2011;Otorrinolaringología ;Cirugia;2905
HOSPITAL DE REHABILITACION M. ROCCA;2011;Urología;Cirugia;1669
HOSPITAL DE REHABILITACION M. ROCCA;2011;Urología ;Cirugia;786
HOSPITAL DE REHABILITACION M. ROCCA;2011;Subtotal Cirugia;Cirugia;23043
HOSPITAL DE REHABILITACION M. ROCCA;2011;Pediatría;Pediatria;4453
HOSPITAL DE REHABILITACION M. ROCCA;2011;Subtotal Pediatria;Pediatria;4453
HOSPITAL DE REHABILITACION M. ROCCA;2011;Guardia Del Día;Urgencia;6476
HOSPITAL DE REHABILITACION M. ROCCA;2011;Subtotal Urgencia;Urgencia;6476
HOSPITAL DE REHABILITACION M. ROCCA;2011;Promoción Y Protección;Promocion Y Proteccion;1318
HOSPITAL DE REHABILITACION M. ROCCA;2011;Subtotal Promocion Y Proteccion;Promocion Y Proteccion;1318
HOSPITAL DE REHABILITACION M. ROCCA;2011;Total Hospital;Promocion Y Proteccion;57827
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Cardiología;Medicina;456
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Fisiatría;Medicina;9348
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Fisiatría ;Medicina;1546
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Clínica Médica ;Medicina;1364
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Neurología;Medicina;601
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Reumatología;Medicina;3769
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Reumatología ;Medicina;1427
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Infectología ;Medicina;491
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Neumonología ;Medicina;675
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Subtotal Medicina;Medicina;19677
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Ortopedia;Cirugia;7216
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Cirugía Plástica ;Cirugia;903
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Oftalmología;Cirugia;937
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Urología ;Cirugia;635
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Subtotal Cirugia;Cirugia;9691
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Pediatría;Pediatria;475
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Subtotal Pediatria;Pediatria;475
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Guardia Del Día;Urgencia;3328
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Subtotal Urgencia;Urgencia;3328
HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P);2011;Total Hospital;Urgencia;33171
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Neumonología;Medicina;12068
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Neumonología ;Medicina;7041
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Miastenia Gravis;Medicina;71
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Miastenia Gravis ;Medicina;882
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Cardiología;Medicina;2620
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Cardiología ;Medicina;562
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Oncología;Medicina;746
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Cesación Tabáquica;Medicina;163
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Subtotal Medicina;Medicina;24153
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Cirugía Cardiovascular Y Torácica;Cirugia;768
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Subtotal Cirugia;Cirugia;768
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Neumonología;Pediatria;1761
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Neumonología ;Pediatria;2191
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Subtotal Pediatria;Pediatria;3952
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Guardia;Urgencia;15551
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Subtotal Urgencia;Urgencia;15551
HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;2011;Total Hospital;Urgencia;44424
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Clínica Médica ;Medicina;8392
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Clínica Médica;Medicina;15097
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Alergia E Inmunidad;Medicina;2410
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Gastroenterología;Medicina;3937
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Oncología;Medicina;5171
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Nutrición Y Diabetes;Medicina;2031
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Reumatología;Medicina;2621
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Nefrología;Medicina;2567
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Alergia E Inmunidad ;Medicina;1473
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Gastroenterología ;Medicina;803
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Neurología;Medicina;10607
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Neurología ;Medicina;2398
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Cardiología;Medicina;8934
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Cardiología ;Medicina;4645
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Dermatología;Medicina;9630
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Dermatología ;Medicina;4745
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Endocrinología;Medicina;10551
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Endocrinología ;Medicina;4224
HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ;2012;Hematología;Medicina;8287
