cod_refes;efector;anio;agrupacion;servicio;total
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;psiquiatria;950
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;tocoginecologia;5102
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;trabajo_social;1019
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;traumatologia;2444
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2019;;adolescencia;139
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2019;;clinica_medica;1703
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2019;;guardia;23184
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2018;;adolescencia;107
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2018;;clinica_medica;1501
13020012215279;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;2018;;guardia;21169
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;cardiologia;5115
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;cirugia_general;3326
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;clinica_medica;13591
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;gastroenterologia;8194
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;ginecologia;497
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;guardia;28222
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;hepatologia;2238
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;infectologia;237
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;nutricion;1309
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;oncologia;14512
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2019;;proctologia;3866
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;cardiologia;5214
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;cirugia_general;3572
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;clinica_medica;14671
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;gastroenterologia;8394
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;ginecologia;396
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;guardia;27686
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;hepatologia;2418
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;infectologia;279
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;nutricion;1509
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;oncologia;13242
14020012215303;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;2018;;proctologia;4061
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;infecciosas;25488
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;neumotisiologia;21302
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;lepra;401
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;dermatologia;10852
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;cardiologia;2808
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;neurologia;1445
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;nutricion;688
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;t_b_c_multirresistente;1175
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;hematologia;865
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;asma_y_a;2308
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;hepatologia;5623
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;zoopatologia;4267
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;psiquiatria;4273
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;brucelosis;95
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;e_t_s;3848
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;s_i_d_a;15245
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;micologia;819
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;cirugia;2632
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;ginecologia;1340
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;urologia;1276
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;ortopedia_y_traumatologia;650
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;oftalomologia;3340
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;o_r_l;2765
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;neurocirugia;471
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;pediatria;4256
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;adolescencia;1620
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;guardia;31137
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2019;;promocion;56036
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;infecciosas;27295
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;neumotisiologia;13827
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;lepra;529
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;dermatologia;16192
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;cardiologia;1772
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;neurologia;1166
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;nutricion;735
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;t_b_c_multirresistente;1265
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;hematologia;682
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;asma_y_a;1862
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;hepatologia;5672
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;zoopatologia;3610
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;psiquiatria;2112
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;brucelosis;134
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;e_t_s;4280
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;s_i_d_a;15580
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;micologia;1225
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;cirugia;1717
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;ginecologia;1449
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;urologia;910
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;ortopedia_y_traumatologia;1098
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;oftalomologia;1937
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;o_r_l;3415
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;neurocirugia;903
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;pediatria;4376
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;adolescencia;2243
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;guardia;31801
14020012215304;HOSPITAL DE INFECCIOSAS F. MUÑIZ;2018;;promocion;54406
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;medicina;clinica_medica;6393
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;medicina;cardiologia;3604
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;medicina;endocrinologia;1161
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;medicina;infectologia;870
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;clinica_oftalmologica;27738
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;clinica_oftalmologica_vesp;35978
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;cornea;3374
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;estrabismo;1416
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;glaucoma;3441
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;retina;4137
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;segmento_anterior;4150
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;vias_lagrimales;1425
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;cirugia;4753
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;cirugia_refractiva;516
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;oncologia_y_orbita;2003
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;uveitis;1766
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;infectologia_ocular;2555
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;cirugia_plastica;1064
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;neurocirugia;377
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;cirugia;neurooftalmologia_y_orbita;245
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;pediatria;pediatria;1992
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;pediatria;oftalmologia_pediatrica;4240
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2019;urgencia;guardia_medica;515470
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;cardiologia;3741
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;cirugia_general;4099
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;cirugia_plastica_y_reparadora;941
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;clinica_medica;5033
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;dermatologia;462
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;endocrinologia;670
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;guardia;439045
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;infectologia;2606
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;neurocirugia;500
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;oftalmologia;98238
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;oftalmologia_pediatrica;4389
14020012215305;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;2018;;pediatria;1856
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;medicina;clinica_medica;11
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;medicina;cardiologia;825
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;medicina;prestacion_atencion_del_dolor;12
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;cirugia;cirugia_plastica;6485
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;cirugia;quemados_adultos;19360
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;cirugia;quemados_pediatria;9042
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;cirugia;seguimiento_de_internacion_adultos;1478
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;cirugia;seguimiento_de_internacion_pediatria;1823
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2019;urgencia;guardia_del_dia;19144
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;medicina;cardiologia;938
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;cirugia;cirugia_plastica;5445
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;cirugia;quemados_adultos;18390
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;cirugia;quemados_pediatria;8652
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;cirugia;seguimiento_de_internacion_adultos;1444
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;cirugia;seguimiento_de_internacion_pediatria;1913
14020012215309;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;2018;urgencia;guardia_del_dia;18450
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;fisiatria;6030
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;fisiatria_vesp;599
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;clinica_medica;4599
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;clinica_estetica;3087
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;cardiologia;3094
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;orientacion;1511
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;reumatologia;3414
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;medicina;cesacion_tabaquica;59
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;ortopedia_y_traumatologia;4314
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;ortopedia_y_traumatologia_vesp;412
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;cirugia_plastica;2151
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;oftalmologia;1309
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;otorrinolaringologia;5878
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;otorrinolaringologia_vesp;900
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;urologia;1486
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;cirugia;urologia_vesp;573
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;pediatria;pediatria;3957
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;urgencia;guardia_del_dia;8518
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2019;promocion_y_proteccion;promocion_y_proteccion;1880
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;fisiatria;4419
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;fisiatria_vesp;424
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;clinica_medica;4346
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;clinica_estetica;3302
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;cardiologia;3255
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;orientacion;2296
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;reumatologia;3308
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;medicina;cesacion_tabaquica;125
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;ortopedia_y_traumatologia;4925
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;ortopedia_y_traumatologia_vesp;1072
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;cirugia_plastica;1577
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;otorrinolaringologia;6765
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;urologia;1593
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;cirugia;urologia_vesp;717
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;pediatria;pediatria;3473
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;urgencia;guardia_del_dia;8419
14020012215306;HOSPITAL DE REHABILITACION M. ROCCA;2018;promocion_y_proteccion;promocion_y_proteccion;1836
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;neumonologia;9276
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;neumonologia_vesp;4735
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;miastenia_gravis;346
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;miastenia_gravis_vesp;264
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;cardiologia;1832
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;cardiologia_vesp;189
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;oncologia;962
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;enfermedades_pulmonares_intersticiales_difusas_epid;2115
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;medicina;cesacion_tabaquica;131
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;cirugia;cirugia_cardiovascular_y_toracica;1091
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;pediatria;neumonologia;2174
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;pediatria;neumonologia_vesp;353
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2019;urgencia;guardia;18346
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;neumonologia;9405
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;neumonologia_vesp;5263
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;miastenia_gravis;221
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;miastenia_gravis_vesp;539
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;cardiologia;2060
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;cardiologia_vesp;123
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;oncologia;1102
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;enfermedades_pulmonares_intersticiales_difusas_epid;2319
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;medicina;cesacion_tabaquica;128
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;cirugia;cirugia_cardiovascular_y_toracica;933
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;pediatria;neumonologia;1688
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;pediatria;neumonologia_vesp;1289
14020012215307;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;2018;urgencia;guardia;17080
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;cardiologia;5396
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;cirugia_general;4918
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;clinica_medica;13721
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;dermatologia;1915
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;gincecologia;4161
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;infectologia;2379
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;neurologia;2322
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;oftalmologia;1998
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2019;;ortopedia_y_traumatologia;1090
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;cardiologia;4896
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;cirugia_general;3918
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;clinica_medica;10055
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;dermatologia;1685
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;gincecologia;3438
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;infectologia;780
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;neurologia;1322
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;oftalmologia;1584
13020012215280;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;2018;;ortopedia_y_traumatologia;1082
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;cardiologia;200
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;clinica_medica;1607
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;neurologia;1446
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_10;30
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_21;12
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;infecciosas;602
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_e1;167
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_2;20
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_3;62
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_8;24
13020012215281;HOSPITAL DE SALUD MENTAL J. T. BORDA;2019;medicina;psiquiaria_serv_11;18
