SERVICIO;ESPECIALIDADES;ING;PASES_A;ING_PASES;ALTAS;DEF;TOTAL;PASES_B;EGR_PASES;DIAS_CAMAS_DISP;PAC_DIA;PROMEDIO_CAMAS_DISP;PROMEDIO_PAC_DIA;PORCENTAJE_OCUP;PROMEDIO_PERM;GIRO;TASA_MORT_HOSP;ANIO;SK_ID_EFECTOR;NOM_EFECTOR_BADATA;OBSERVACIONES
Medicina;Infecciosas;1442;312;1754;1377;106;1483;281;1764;39738;28273;10887;7746;7115;1603;162;601;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Hepatopatía;309;21;330;292;13;305;25;330;4731;2192;1296;601;4633;664;2546;394;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Neumotisiología;557;65;622;550;7;557;62;619;25681;20696;7036;567;8059;3343;88;113;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Asistencia Respiratoria Intermedia;243;307;550;101;86;187;361;548;5164;3168;1415;868;6135;578;3873;1569;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Zoopatología Médica;284;80;364;289;11;300;60;360;6165;3327;1689;912;5397;924;2131;306;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Subtotal Medicina;3193;808;4001;2942;225;3167;831;3998;92445;64133;25327;17571;6937;1604;1579;563;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Cirugia;Cirugía General;512;75;587;522;5;527;56;583;7244;2697;1985;739;3723;463;2938;86;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Cirugia;Subtotal Cirugia;512;75;587;522;5;527;56;583;7244;2697;1985;739;3723;463;2938;86;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Pediatria;Infecciosas Pediatría;608;8;616;610;0;610;5;615;10794;6149;2957;1685;5697;10;208;0;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Pediatria;Subtotal Pediatria;608;8;616;610;0;610;5;615;10794;6149;2957;1685;5697;10;208;0;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Urgencia;Terapia Intensiva;121;179;300;28;94;122;178;300;2720;1809;745;496;6651;603;4026;3133;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Urgencia;Subtotal Urgencia;121;179;300;28;94;122;178;300;2720;1809;745;496;6651;603;4026;3133;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Urgencia;Total Hospital;4434;1070;5504;4102;324;4426;1070;5496;113203;74788;31015;2049;6607;169;1427;732;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
Medicina;Curieterapia;97;2;99;98;0;98;1;99;1024;359;281;98;3506;363;3529;0;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Medicina;Medicina;1697;21;1718;1230;439;1669;49;1718;20960;18495;5742;5067;8824;1077;2992;2555;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Medicina;Subtotal Medicina;1794;23;1817;1328;439;1767;50;1817;21984;18854;6023;5165;8576;1038;3017;2416;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Cirugia;Cirugía General;736;47;783;750;16;766;20;786;9005;3812;2467;1044;4233;485;3186;204;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Cirugia;Subtotal Cirugia;736;47;783;750;16;766;20;786;9005;3812;2467;1044;4233;485;3186;204;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Cirugia;Total Hospital;2530;70;2600;2078;455;2533;70;2603;30989;22666;849;621;7314;895;2983;1796;2011;2168;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;
Cirugia;Cirugía Plástica;593;3;596;591;0;591;5;596;3285;711;9;195;2164;119;6622;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Cirugia;Quemados ;10;149;159;87;2;89;68;157;3861;3583;1058;982;928;2282;1484;127;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Cirugia;Quemados - Cuidados Generales - Adultos;58;206;264;231;1;232;35;267;5577;3326;1528;911;5964;1246;1747;37;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Cirugia;Subtotal Cirugia;661;358;1019;909;3;912;108;1020;12723;7620;3486;2088;5989;747;2926;29;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Pediatria;Quemados ;58;248;306;157;0;157;150;307;5010;3445;1373;944;6876;1122;2237;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Pediatria;Quemados - Cuidados Generales - Pediatría;18;154;172;157;0;157;16;173;2790;1218;764;334;4366;704;2263;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Pediatria;Subtotal Pediatria;76;402;478;314;0;314;166;480;7800;4663;2137;1278;5978;971;2246;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Urgencia;Guardia;580;0;580;70;2;72;508;580;1095;175;3;48;1598;3;19333;34;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Urgencia;Quemados Cuidados Intensivos - Adultos;5;90;95;1;30;31;65;96;2068;1856;567;508;8975;1933;1694;3125;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Urgencia;Subtotal Urgencia;585;90;675;71;32;103;573;676;3163;2031;867;556;6421;3;7801;473;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Internacion De Corta Estadia;Cirugia De Corta Estadia;61;0;61;58;0;58;3;61;1825;60;5;16;329;98;122;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Internacion De Corta Estadia;Subtotal Internacion De Corta Estadia;61;0;61;58;0;58;3;61;1825;60;5;16;329;98;122;0;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Internacion De Corta Estadia;Total Hospital;1383;850;2233;1352;35;1387;850;2237;25511;14374;6989;3938;5634;1036;1984;252;2011;2112;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;
Medicina;Hepatología;162;19;181;108;14;122;56;178;2311;2110;633;578;913;1185;2811;787;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Medicina;Clínica Médica;941;91;1032;713;57;770;267;1037;12778;10466;3501;2867;8191;1009;2962;55;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Medicina;Subtotal Medicina;1103;110;1213;821;71;892;323;1215;15089;12576;4134;3445;8335;1035;2939;584;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Cirugia;Cirugía;1129;381;1510;1367;1;1368;133;1501;10350;7423;2836;2034;7172;495;5293;7;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Cirugia;Subtotal Cirugia;1129;381;1510;1367;1;1368;133;1501;10350;7423;2836;2034;7172;495;5293;7;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Urgencia;Terapia Intensiva;98;177;275;9;51;60;212;272;2508;1411;687;387;5626;519;3959;1875;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Urgencia;Subtotal Urgencia;98;177;275;9;51;60;212;272;2508;1411;687;387;5626;519;3959;1875;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Urgencia;Total Hospital;2330;668;2998;2197;123;2320;668;2988;27947;21410;7657;5866;7661;923;303;53;2011;2109;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;
Cirugia;Oftalmología;3348;0;3348;3345;0;3345;0;3345;14600;3950;40;1082;2705;118;8363;0;2011;2169;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE;
Cirugia;Subtotal Cirugia;3348;0;3348;3345;0;3345;0;3345;14600;3950;40;1082;2705;118;8363;0;2011;2169;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE;
Cirugia;Total Hospital;3348;0;3348;3345;0;3345;0;3345;14600;3950;40;1082;2705;118;8363;0;2011;2169;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE;
Cirugia;Neurocirugía;42;34;76;43;0;43;31;74;6590;534;1805;146;81;722;41;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Cirugia;Oftalmología;4110;0;4110;4097;0;4097;1;4098;11263;3103;3086;85;2755;76;1328;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Cirugia;Subtotal Cirugia;4152;34;4186;4140;0;4140;32;4172;17853;3637;4891;996;2037;87;853;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Urgencia;Terapia Intensiva;5;31;36;3;0;3;33;36;1095;127;3;35;116;353;12;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Urgencia;Subtotal Urgencia;5;31;36;3;0;3;33;36;1095;127;3;35;116;353;12;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Urgencia;Total Hospital;4157;65;4222;4143;0;4143;65;4208;18948;3764;5191;1031;1986;91;7981;0;2011;2111;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;
Medicina;Clínica Médica;0;142;142;27;13;40;68;108;11680;9867;32;2703;8448;9136;338;1204;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Medicina;Neurología;0;8;8;2;0;2;18;20;5110;3431;14;94;6714;17155;143;0;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Medicina;Psicopatologia Y Salud Mental;891;886;1777;942;6;948;960;1908;275642;246614;75518;67565;8947;12925;253;31;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Medicina;Subtotal Medicina;891;1036;1927;971;19;990;1046;2036;292432;259912;80118;71209;8888;12766;254;93;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Cirugia;Cirugía General;0;30;30;3;1;4;20;24;3650;2707;10;742;7416;11279;24;417;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Cirugia;Subtotal Cirugia;0;30;30;3;1;4;20;24;3650;2707;10;742;7416;11279;24;417;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Cirugia;Total Hospital;891;1066;1957;974;20;994;1066;2060;296082;262619;81118;7195;887;2642;123;201;2011;2117;HOSPITAL DE SALUD MENTAL J. T. BORDA;
Medicina;Clínica Médica;0;63;63;10;8;18;44;62;8395;4884;23;1338;5818;7877;27;129;2011;2116;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;
Medicina;Psicopatologia Y Salud Mental;1064;1086;2150;1078;13;1091;1122;2213;347428;313065;95186;85771;9011;14147;232;59;2011;2116;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;
Medicina;Subtotal Medicina;1064;1149;2213;1088;21;1109;1166;2275;355823;317949;97486;87109;8936;13976;233;92;2011;2116;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;
Cirugia;Total Hospital;1064;1224;2288;1104;24;1128;1224;2352;367503;322896;100686;88465;8786;28626;112;213;2011;2116;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;
Pediatria;Psiquiatria;277;99;376;279;0;279;99;378;20449;13271;5602;3636;649;3511;675;0;2011;2165;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;
Pediatria;Subtotal Pediatria;277;99;376;279;0;279;99;378;20449;13271;5602;3636;649;3511;675;0;2011;2165;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;
Pediatria;Total Hospital;277;99;376;279;0;279;99;378;20449;13271;5602;3636;649;4757;498;0;2011;2165;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;
Medicina;Psicopatologia y Salud Mental;15;293;308;266;0;266;38;304;18277;17654;;;;;;;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Medicina;Adolescencia;29;64;93;74;0;74;10;84;5896;5278;1615;1446;8952;6283;52;0;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Medicina;Subtotal Medicina;44;357;401;340;0;340;48;388;24173;22932;6623;6283;9487;591;586;0;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Urgencia;Emergencia;489;48;537;181;1;182;357;539;5969;5644;1635;1546;9456;1047;3296;19;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Urgencia;Subtotal Urgencia;489;48;537;181;1;182;357;539;5969;5644;1635;1546;9456;1047;3296;19;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Urgencia;Total Hospital;533;405;938;521;1;522;405;927;30142;28576;8258;7829;948;5474;632;19;2011;2108;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;
Medicina;Fisiatría;95;3;98;84;0;84;2;86;25229;19687;6912;5394;7803;22892;124;0;2011;2113;HOSPITAL DE REHABILITACION M. ROCCA;
Medicina;Subtotal Medicina;95;3;98;84;0;84;2;86;25229;19687;6912;5394;7803;22892;124;0;2011;2113;HOSPITAL DE REHABILITACION M. ROCCA;
Cirugia;Cirugía General;100;1;101;103;0;103;2;105;2191;1076;6;295;4911;1025;1749;0;2011;2113;HOSPITAL DE REHABILITACION M. ROCCA;
Cirugia;Subtotal Cirugia;100;1;101;103;0;103;2;105;2191;1076;6;295;4911;1025;1749;0;2011;2113;HOSPITAL DE REHABILITACION M. ROCCA;
Cirugia;Total Hospital;195;4;199;187;0;187;4;191;27420;20763;7512;5688;7572;11103;249;0;2011;2113;HOSPITAL DE REHABILITACION M. ROCCA;
Medicina;Fisiatría;83;6;89;84;0;84;3;87;18250;7586;50;2078;4157;872;174;0;2011;2114;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);
Medicina;Subtotal Medicina;83;6;89;84;0;84;3;87;18250;7586;50;2078;4157;872;174;0;2011;2114;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);
Cirugia;Cirugía General;218;33;251;215;0;215;36;251;1843;451;505;124;2447;18;4971;0;2011;2114;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);
Cirugia;Subtotal Cirugia;218;33;251;215;0;215;36;251;1843;451;505;124;2447;18;4971;0;2011;2114;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);
Cirugia;Total Hospital;301;39;340;299;0;299;39;338;20093;8037;5505;2202;40;2688;543;0;2011;2114;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);
Medicina;Terapia Prolongada;845;57;902;705;11;716;186;902;3858;2930;1057;803;7595;325;8534;122;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Medicina;Terapia Intermedia;479;290;769;622;25;647;128;775;7200;6195;1973;1697;8604;799;3929;323;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Medicina;Subtotal Medicina;1324;347;1671;1327;36;1363;314;1677;11058;9125;303;25;8252;544;5535;215;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Urgencia;Terapia Intensiva;161;216;377;82;48;130;249;379;2919;2339;8;641;8013;617;4739;1266;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Urgencia;Subtotal Urgencia;161;216;377;82;48;130;249;379;2919;2339;8;641;8013;617;4739;1266;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Urgencia;Total Hospital;1485;563;2048;1409;84;1493;563;2056;13977;11464;3829;3141;8202;768;3899;563;2011;2115;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;
Medicina;Cardiología;44;185;229;165;4;169;59;228;3660;1415;10;387;3866;621;228;175;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Clínica Médica;302;810;1112;885;92;977;137;1114;16483;12764;4504;3487;7744;1146;2474;826;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Neurología;4;24;28;20;3;23;6;29;768;256;21;7;3333;883;1382;1034;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Psicopatologia Y Salud Mental;16;82;98;91;0;91;3;94;7320;5073;20;1386;693;5397;47;0;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Unidad Coronaria;61;173;234;73;16;89;144;233;1846;1294;504;354;701;555;462;687;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Subtotal Medicina;427;1274;1701;1234;115;1349;349;1698;30077;20802;8218;5684;6916;1225;2066;677;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Cirugia;Cirugía General;465;323;788;743;1;744;52;796;6588;5191;18;1418;7879;652;4422;13;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Cirugia;Ginecología;161;49;210;177;1;178;23;201;1836;1101;502;301;5997;548;4007;5;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Cirugia;Ortopedia Y Traumatología;310;193;503;429;6;435;68;503;8293;4314;2266;1179;5202;858;222;119;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Cirugia;Urología;85;14;99;93;0;93;4;97;794;418;217;114;5264;431;4471;0;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Cirugia;Subtotal Cirugia;1021;579;1600;1442;8;1450;147;1597;17511;11024;4784;3012;6295;69;3338;5;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Pediatria;Recien Nacido Sano;1036;283;1319;1251;0;1251;76;1327;6345;3497;1734;955;5511;264;7655;0;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Pediatria;Neonatología;386;77;463;174;4;178;286;464;2759;1952;754;533;7075;421;6155;86;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Pediatria;Pediatría;1159;5;1164;1156;2;1158;2;1160;6918;3690;189;1008;5334;318;6137;17;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Pediatria;Subtotal Pediatria;2581;365;2946;2581;6;2587;364;2951;16022;9139;4378;2497;5704;31;6741;2;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Tocoginecologia;Obstetricia;1757;15;1772;1745;0;1745;35;1780;8368;5533;2286;1512;6612;311;7785;0;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Tocoginecologia;Subtotal Tocoginecologia;1757;15;1772;1745;0;1745;35;1780;8368;5533;2286;1512;6612;311;7785;0;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Guardia Del Día;1809;10;1819;326;53;379;1436;1815;2200;732;601;2;3327;4;30195;292;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Terapia Intensiva;30;243;273;37;79;116;155;271;2897;1865;792;51;6438;688;3424;2915;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Subtotal Urgencia;1839;253;2092;363;132;495;1591;2086;5097;2597;1393;71;5095;124;14979;633;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Total Hospital;7625;2486;10111;7365;261;7626;2486;10112;77075;49095;21059;13414;637;644;3621;342;2012;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Cardiología Intervencionista;252;0;252;252;0;252;0;252;404;252;11;69;6238;1;2283;0;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Cardiología;266;358;624;521;12;533;92;625;9028;5893;2467;161;6527;943;2534;192;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Clínica Médica;332;385;717;525;51;576;141;717;12444;10643;34;2908;8553;1484;2109;711;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Unidad Coronaria;291;142;433;66;40;106;326;432;2928;2326;8;636;7944;538;54;926;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Subtotal Medicina;1141;885;2026;1364;103;1467;559;2026;24804;19114;6777;5222;7706;943;299;508;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Cirugía General;2904;182;3086;2897;34;2931;152;3083;20130;16496;55;4507;8195;535;5605;11;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Cirugía Cardiovascular;165;73;238;157;4;161;80;241;5734;3080;1567;842;5371;1278;1538;166;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Ginecología;345;34;379;354;3;357;23;380;4758;4494;13;1228;9445;1183;2923;79;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Neurocirugía;274;107;381;297;10;307;68;375;8538;6070;2333;1658;7109;1619;1608;267;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Ortopedia Y Traumatología;486;68;554;500;11;511;39;550;7992;5731;2184;1566;7171;1042;2519;2;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Urología;199;40;239;215;0;215;23;238;3166;2136;865;584;6747;897;2751;0;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Trasplante Renal;390;69;459;417;8;425;41;466;7686;4950;21;1352;644;1062;2219;172;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Subtotal Cirugia;4763;573;5336;4837;70;4907;426;5333;58004;42957;15848;11737;7406;805;3365;131;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Recien Nacido Sano;2458;123;2581;2078;0;2078;511;2589;13542;6119;37;1672;4519;236;6997;0;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Neonatología;101;511;612;462;27;489;123;612;9882;6438;27;1759;6515;1052;2267;441;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Pediatría;635;5;640;638;0;638;1;639;6588;3691;18;1008;5603;578;355;0;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Subtotal Pediatria;3194;639;3833;3178;27;3205;635;3840;30012;16248;82;4439;5414;423;4683;7;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Tocoginecologia;Obstetricia;3093;22;3115;3075;1;3076;39;3115;13571;10543;3708;2881;7769;338;8401;3;2012;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Neonatología;98;504;602;401;21;422;173;595;9597;5867;2629;1607;6113;986;2263;353;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Pediatría;673;15;688;690;0;690;3;693;6477;3467;1775;95;5353;5;3905;0;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Subtotal Pediatria;2974;687;3661;2948;21;2969;680;3649;25633;14860;7023;4071;5797;407;5196;58;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Tocoginecologia;Obstetricia;2901;31;2932;2876;1;2877;50;2927;13234;10265;3626;2812;7757;351;8073;3;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Tocoginecologia;Subtotal Tocoginecologia;2901;31;2932;2876;1;2877;50;2927;13234;10265;3626;2812;7757;351;8073;3;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Guardia Del Día;1370;11;1381;696;131;827;558;1385;6506;6477;1782;1775;9955;468;777;946;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Terapia Intensiva;220;613;833;69;148;217;618;835;7691;6874;2107;1883;8938;823;3963;1772;2011;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
